lang,seed,model,checkpoint,dataset_type,dataset_folder,use_constrained_decoding,precision,recall,f1,inference_time,path
eng,123,20260402_091332_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,86.82196119836347,88.06559571619813,87.43935668239517,,outputs/evals/hotel_reviews/eng/mvp/seed_123/20260402_091332_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
eng,2024,20260402_100706_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,87.87253858435338,88.41365461847388,88.1422661150407,,outputs/evals/hotel_reviews/eng/mvp/seed_2024/20260402_100706_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
eng,31415,20260402_110041_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,86.26348479895391,88.3132530120482,87.27633537291219,,outputs/evals/hotel_reviews/eng/mvp/seed_31415/20260402_110041_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
eng,777,20260402_115352_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,87.77006937561943,88.91566265060241,88.33915211970074,,outputs/evals/hotel_reviews/eng/mvp/seed_777/20260402_115352_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
eng,9584,20260402_082012_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,87.29077075752564,88.3132530120482,87.79903510231243,,outputs/evals/hotel_reviews/eng/mvp/seed_9584/20260402_082012_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
indo,123,20260226_091905_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,True,85.6555165902347,85.07032819825854,85.36191948383627,,outputs/evals/hotel_reviews/indo/mvp/seed_123/20260226_091905_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/constrained_decoding/inference_results.json
indo,123,20260226_091905_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,85.60636719276945,85.01004688546551,85.3071649415244,,outputs/evals/hotel_reviews/indo/mvp/seed_123/20260226_091905_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
indo,2024,20260226_103747_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,True,85.81867388362652,84.95646349631613,85.38539212386401,,outputs/evals/hotel_reviews/indo/mvp/seed_2024/20260226_103747_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/constrained_decoding/inference_results.json
indo,2024,20260226_103747_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,85.79260863679437,84.89618218352311,85.3420414758955,,outputs/evals/hotel_reviews/indo/mvp/seed_2024/20260226_103747_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
indo,31415,20260226_115322_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,True,85.44575725026853,85.25117213663765,85.348353785288,,outputs/evals/hotel_reviews/indo/mvp/seed_31415/20260226_115322_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/constrained_decoding/inference_results.json
indo,31415,20260226_115322_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,85.303986042142,85.14400535833892,85.2239206221507,,outputs/evals/hotel_reviews/indo/mvp/seed_31415/20260226_115322_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
indo,777,20260226_131009_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,True,86.28710528095206,85.47220361687877,85.87772132305933,,outputs/evals/hotel_reviews/indo/mvp/seed_777/20260226_131009_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/constrained_decoding/inference_results.json
indo,777,20260226_131009_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,86.11505441762995,85.32484929671801,85.71813074050398,,outputs/evals/hotel_reviews/indo/mvp/seed_777/20260226_131009_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
indo,9584,20260226_073028_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,True,85.72681281618887,85.1239115874079,85.42429843723744,,outputs/evals/hotel_reviews/indo/mvp/seed_9584/20260226_073028_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/constrained_decoding/inference_results.json
indo,9584,20260226_073028_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,85.680545245968,85.04353650368385,85.3608524656291,,outputs/evals/hotel_reviews/indo/mvp/seed_9584/20260226_073028_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
jav,123,20260402_134023_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,81.41397957139996,81.51737967914438,81.46564681519088,,outputs/evals/hotel_reviews/jav/mvp/seed_123/20260402_134023_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
jav,2024,20260402_143335_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,82.29426433915212,81.61764705882352,81.95455918381045,,outputs/evals/hotel_reviews/jav/mvp/seed_2024/20260402_143335_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
jav,31415,20260402_152635_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,82.46099817653813,81.61764705882352,82.03715523902308,,outputs/evals/hotel_reviews/jav/mvp/seed_31415/20260402_152635_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
jav,777,20260402_161858_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,81.73430500768872,81.71791443850267,81.72610890129359,,outputs/evals/hotel_reviews/jav/mvp/seed_777/20260402_161858_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
jav,9584,20260402_124702_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,82.74678689186462,82.19919786096257,82.47208343113913,,outputs/evals/hotel_reviews/jav/mvp/seed_9584/20260402_124702_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/checkpoint-7760/unconstrained_decoding/inference_results.json
