lang,seed,model,checkpoint,dataset_type,dataset_folder,use_constrained_decoding,precision,recall,f1,inference_time,path
eng,123,20260402_091332_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,66.65533650577838,65.62918340026773,66.13827993254637,,outputs/evals/hotel_reviews/eng/mvp/seed_123/20260402_091332_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
eng,2024,20260402_100706_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,67.07234617985125,66.39892904953146,66.73393878237471,,outputs/evals/hotel_reviews/eng/mvp/seed_2024/20260402_100706_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
eng,31415,20260402_110041_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,66.44067796610169,65.59571619812584,66.01549343213203,,outputs/evals/hotel_reviews/eng/mvp/seed_31415/20260402_110041_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
eng,777,20260402_115352_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,66.96095076400678,65.99732262382865,66.4756446991404,,outputs/evals/hotel_reviews/eng/mvp/seed_777/20260402_115352_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
eng,9584,20260402_082012_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,65.87997302764667,65.39491298527443,65.63654685925428,,outputs/evals/hotel_reviews/eng/mvp/seed_9584/20260402_082012_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
indo,123,20260226_091905_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,True,70.85793678360541,68.31882116543872,69.56521739130434,,outputs/evals/hotel_reviews/indo/mvp/seed_123/20260226_091905_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/constrained_decoding/voting_results.json
indo,123,20260226_091905_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,70.74190177638454,68.01741460147355,69.3529110466109,,outputs/evals/hotel_reviews/indo/mvp/seed_123/20260226_091905_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
indo,2024,20260226_103747_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,True,70.22742935906273,68.25184192900201,69.22554347826086,,outputs/evals/hotel_reviews/indo/mvp/seed_2024/20260226_103747_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/constrained_decoding/voting_results.json
indo,2024,20260226_103747_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,69.93441491197791,67.84996651038178,68.87642359340471,,outputs/evals/hotel_reviews/indo/mvp/seed_2024/20260226_103747_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
indo,31415,20260226_115322_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,True,71.73010380622837,69.42397856664434,70.55820285908781,,outputs/evals/hotel_reviews/indo/mvp/seed_31415/20260226_115322_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/constrained_decoding/voting_results.json
indo,31415,20260226_115322_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,71.51263412945656,69.18955123911587,70.33191489361703,,outputs/evals/hotel_reviews/indo/mvp/seed_31415/20260226_115322_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
indo,777,20260226_131009_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,True,72.00832466181062,69.5244474212994,70.74459021979895,,outputs/evals/hotel_reviews/indo/mvp/seed_777/20260226_131009_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/constrained_decoding/voting_results.json
indo,777,20260226_131009_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,71.60708087469628,69.08908238446082,70.325549684677,,outputs/evals/hotel_reviews/indo/mvp/seed_777/20260226_131009_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
indo,9584,20260226_073028_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,True,71.2857635298173,69.25653047555258,70.25649736708,,outputs/evals/hotel_reviews/indo/mvp/seed_9584/20260226_073028_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/constrained_decoding/voting_results.json
indo,9584,20260226_073028_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,71.11801242236024,69.02210314802412,70.05438477226377,,outputs/evals/hotel_reviews/indo/mvp/seed_9584/20260226_073028_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
jav,123,20260402_134023_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,60.13840830449827,58.08823529411765,59.09554573274397,,outputs/evals/hotel_reviews/jav/mvp/seed_123/20260402_134023_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
jav,2024,20260402_143335_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,60.38394415357766,57.82085561497327,59.07461157589211,,outputs/evals/hotel_reviews/jav/mvp/seed_2024/20260402_143335_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
jav,31415,20260402_152635_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,60.02790373212418,57.520053475935825,58.747226489161974,,outputs/evals/hotel_reviews/jav/mvp/seed_31415/20260402_152635_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
jav,777,20260402_161858_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10,checkpoint-7760,hotel_reviews,mvp,False,60.95437129919888,58.48930481283422,59.69640115981579,,outputs/evals/hotel_reviews/jav/mvp/seed_777/20260402_161858_train_model-Qwen2.5-0.5B_lr-5e-05_bs-4_epochs-10/checkpoint-7760/unconstrained_decoding/voting_results.json
