lang,seed,model,checkpoint,dataset_type,dataset_folder,use_constrained_decoding,precision,recall,f1,inference_time,path
eng,123,20260408_102014_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,64.36702311141774,62.44979919678715,63.393918804144725,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/20260408_102014_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
eng,2024,20260408_102618_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,64.4565960355434,63.11914323962517,63.780858978694624,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/20260408_102618_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
eng,31415,20260408_103222_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,64.39158910720441,62.51673360107095,63.44031244693497,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/20260408_103222_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
eng,777,20260408_103825_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,64.98944405348345,61.813922356091034,63.36192109777015,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/20260408_103825_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
eng,9584,20260408_101405_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,63.79192334017796,62.38286479250335,63.07952622673435,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/20260408_101405_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,123,20260408_125347_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,67.32394366197182,64.03215003348961,65.63680054926192,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/20260408_125347_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,2024,20260408_125945_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,67.28778467908903,65.304755525787,66.28144119646498,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/20260408_125945_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,31415,20260408_130541_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,68.57742048234883,65.70663094440722,67.11133914828117,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/20260408_130541_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,777,20260408_131140_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,67.58356545961003,65.00334896182184,66.26835097302833,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/20260408_131140_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,9584,20260408_124748_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,67.99861014593468,65.53918285331547,66.7462482946794,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/20260408_124748_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
