lang,seed,model,checkpoint,dataset_type,dataset_folder,use_constrained_decoding,precision,recall,f1,inference_time,path
eng,123,20260408_102014_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,69.46243523316062,67.19924812030075,68.31210191082802,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/20260408_102014_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
eng,2024,20260408_102618_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,69.45254292193069,67.16791979949875,68.29112916069437,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/20260408_102618_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
eng,31415,20260408_103222_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,69.4255111976631,67.01127819548873,68.19703491152558,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/20260408_103222_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
eng,777,20260408_103825_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,70.04289013526889,66.51002506265664,68.230756869677,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/20260408_103825_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
eng,9584,20260408_101405_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,68.78817100610736,67.04260651629073,67.9041726162145,,outputs_seq2seq/evals/hotel_reviews/eng/mvp_aos/20260408_101405_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,123,20260408_125347_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,69.01554404145078,65.29411764705883,67.10327455919396,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/20260408_125347_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,2024,20260408_125945_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,68.48668688911359,66.40522875816993,67.4298987887838,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/20260408_125945_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,31415,20260408_130541_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,70.362765229295,67.18954248366013,68.73955198930123,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/20260408_130541_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,777,20260408_131140_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,69.23339011925043,66.40522875816993,67.78982485404505,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/20260408_131140_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
indo,9584,20260408_124748_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,69.8536917318816,67.09150326797385,68.44474079013169,,outputs_seq2seq/evals/hotel_reviews/indo/mvp_aos/20260408_124748_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
jav,123,20260408_105104_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,58.347217594135294,56.648333872533165,57.48522652659225,,outputs_seq2seq/evals/hotel_reviews/jav/mvp_aos/20260408_105104_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
jav,2024,20260408_105726_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,58.51382872375874,56.81009382076998,57.64937623112279,,outputs_seq2seq/evals/hotel_reviews/jav/mvp_aos/20260408_105726_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
jav,31415,20260408_110353_train_model-mt5-base_lr-0.0002_bs-16_epochs-20,checkpoint-3120,hotel_reviews,mvp_aos,False,58.84115884115884,57.16596570689097,57.99146701673777,,outputs_seq2seq/evals/hotel_reviews/jav/mvp_aos/20260408_110353_train_model-mt5-base_lr-0.0002_bs-16_epochs-20/checkpoint-3120/unconstrained_decoding/inference_results.json
